Date,ASII.JK,BBCA.JK,BMRI.JK,KLBF.JK,SMGR.JK,TLKM.JK
2021-10-01,3693.680419921875,5792.23974609375,2346.78857421875,1287.963134765625,7129.1455078125,2960.015625
2021-10-04,3778.3974609375,5963.60791015625,2491.058349609375,1269.5635986328125,7283.17041015625,2968.103271484375
2021-10-05,3761.4541015625,5950.755859375,2471.822265625,1260.364013671875,7019.12841796875,2968.103271484375
2021-10-06,4049.49365234375,6152.11328125,2539.148193359375,1260.364013671875,7019.12841796875,3040.890380859375
2021-10-07,3863.115234375,6134.97607421875,2577.6201171875,1260.364013671875,7107.142578125,3008.540283203125
2021-10-08,4030.48193359375,6246.36474609375,2654.564208984375,1269.5635986328125,7107.142578125,3073.240478515625
2021-10-11,3945.090576171875,6216.37548828125,2654.564208984375,1251.164306640625,6931.1142578125,3081.327880859375
2021-10-12,4013.404541015625,6272.0712890625,2693.035888671875,1260.364013671875,6975.12109375,3057.0654296875
2021-10-13,4286.6572265625,6447.72265625,2731.508056640625,1274.1636962890625,7305.17431640625,3048.977783203125
2021-10-14,4252.50048828125,6640.51220703125,2760.36181640625,1320.162353515625,7855.2626953125,3097.502685546875
2021-10-15,4269.57958984375,6554.828125,2750.743896484375,1329.362060546875,7723.24267578125,3081.327880859375
2021-10-18,4252.50048828125,6447.72265625,2760.36181640625,1324.76220703125,7833.2587890625,3065.15283203125
2021-10-19,4337.8916015625,6426.302734375,2769.979736328125,1333.9620361328125,7723.24267578125,3024.71533203125
2021-10-21,4201.2666015625,6340.6181640625,2760.36181640625,1370.7608642578125,7745.244140625,3113.677490234375
2021-10-22,4218.34326171875,6447.72265625,2769.979736328125,1338.5618896484375,7789.2509765625,3129.8525390625
2021-10-25,4132.9521484375,6447.72265625,2741.126220703125,1347.761474609375,7547.21337890625,3057.0654296875
2021-10-26,4201.2666015625,6447.72265625,2760.36181640625,1416.759521484375,7371.1845703125,3073.240478515625
2021-10-27,4098.7958984375,6383.46044921875,2750.743896484375,1471.9580078125,7613.2236328125,3065.15283203125
2021-10-28,4098.7958984375,6319.197265625,2702.65380859375,1462.75830078125,7767.248046875,3032.802978515625
2021-10-29,4115.87353515625,6404.8818359375,2760.36181640625,1471.9580078125,8009.287109375,3073.240478515625
2021-11-01,4115.87353515625,6340.6181640625,2760.36181640625,1462.75830078125,8119.30517578125,2992.365478515625
2021-11-02,4030.48193359375,6254.93408203125,2702.65380859375,1490.357421875,7899.26904296875,2960.015625
2021-11-03,4081.717529296875,6297.77490234375,2741.126220703125,1504.1571044921875,8339.3408203125,3008.540283203125
2021-11-04,4081.717529296875,6319.197265625,2760.36181640625,1499.5572509765625,8713.400390625,3048.977783203125
2021-11-05,4047.560546875,6383.46044921875,2731.508056640625,1499.5572509765625,8713.400390625,3048.977783203125
2021-11-08,4047.560546875,6490.564453125,2693.035888671875,1490.357421875,8427.3544921875,3032.802978515625
2021-11-09,3996.325927734375,6576.2490234375,2644.94580078125,1490.357421875,8493.3662109375,3000.452880859375
2021-11-10,4218.34326171875,6554.828125,2750.743896484375,1494.957275390625,8427.3544921875,2992.365478515625
2021-11-11,4218.34326171875,6576.2490234375,2779.59765625,1462.75830078125,8295.3330078125,2951.927978515625
2021-11-12,4201.2666015625,6447.72265625,2731.508056640625,1481.15771484375,8295.3330078125,2911.490966796875
2021-11-15,4184.18701171875,6426.302734375,2712.271728515625,1467.3580322265625,8097.30224609375,2911.490966796875
2021-11-16,4218.34326171875,6404.8818359375,2779.59765625,1490.357421875,8075.2978515625,2968.103271484375
2021-11-17,4269.57958984375,6512.3447265625,2779.59765625,1485.757568359375,7965.27978515625,2935.753173828125
2021-11-18,4235.42236328125,6361.8955078125,2760.36181640625,1485.757568359375,7899.26904296875,2935.753173828125
2021-11-19,4252.50048828125,6383.3876953125,2789.2158203125,1467.3580322265625,7877.2666015625,3154.114990234375
2021-11-22,4235.42236328125,6426.375,2827.687744140625,1471.9580078125,7855.2626953125,3073.240478515625
2021-11-23,4269.57958984375,6426.375,2750.743896484375,1481.15771484375,7525.2099609375,3073.240478515625
2021-11-24,4252.50048828125,6426.375,2750.743896484375,1481.15771484375,7547.21337890625,3073.240478515625
2021-11-25,4252.50048828125,6383.3876953125,2827.687744140625,1490.357421875,7503.2060546875,3234.98974609375
2021-11-26,4030.48193359375,6254.43115234375,2731.508056640625,1462.75830078125,7283.17041015625,3243.0771484375
2021-11-29,4081.717529296875,6361.8955078125,2760.36181640625,1476.557861328125,7217.16015625,3348.214599609375
2021-11-30,3945.090576171875,6254.43115234375,2693.035888671875,1471.9580078125,7041.13232421875,3226.90234375
2021-12-01,3859.69970703125,6275.923828125,2721.889892578125,1462.75830078125,7129.1455078125,3299.689453125
2021-12-02,3996.325927734375,6447.8671875,2769.979736328125,1485.757568359375,7107.142578125,3364.389404296875
2021-12-03,3928.012451171875,6340.40234375,2750.743896484375,1481.15771484375,6953.11767578125,3291.60205078125
2021-12-06,3859.69970703125,6318.90869140625,2760.36181640625,1453.5584716796875,7151.1494140625,3372.476806640625
2021-12-07,4047.560546875,6318.90869140625,2808.451904296875,1485.757568359375,7107.142578125,3356.3017578125
2021-12-08,3962.169189453125,6383.3876953125,2750.743896484375,1467.3580322265625,7063.13525390625,3307.777099609375
2021-12-09,4098.7958984375,6318.90869140625,2827.687744140625,1481.15771484375,7063.13525390625,3356.3017578125
2021-12-10,4047.560546875,6340.40234375,2769.979736328125,1481.15771484375,6931.1142578125,3356.3017578125
2021-12-13,4030.48193359375,6275.923828125,2741.126220703125,1476.557861328125,6953.11767578125,3299.689453125
2021-12-14,4013.404541015625,6275.923828125,2760.36181640625,1481.15771484375,6821.0966796875,3315.8642578125
2021-12-15,4098.7958984375,6275.923828125,2798.833740234375,1485.757568359375,6777.0888671875,3299.689453125
2021-12-16,3962.169189453125,6254.43115234375,2789.2158203125,1494.957275390625,6667.07177734375,3315.8642578125
2021-12-17,3962.169189453125,6447.8671875,2750.743896484375,1481.15771484375,6535.05078125,3315.8642578125
2021-12-20,3876.77783203125,6340.40234375,2721.889892578125,1485.757568359375,6447.0361328125,3299.689453125
2021-12-21,3859.69970703125,6340.40234375,2750.743896484375,1476.557861328125,6535.05078125,3364.389404296875
2021-12-22,3842.62109375,6297.41650390625,2712.271728515625,1444.3587646484375,6381.025390625,3323.951904296875
2021-12-23,3910.9345703125,6275.923828125,2721.889892578125,1462.75830078125,6425.03271484375,3364.389404296875
2021-12-24,3876.77783203125,6275.923828125,2712.271728515625,1448.9586181640625,6403.029296875,3323.951904296875
2021-12-27,3876.77783203125,6318.90869140625,2693.035888671875,1481.15771484375,6513.04736328125,3299.689453125
2021-12-28,3910.9345703125,6318.90869140625,2712.271728515625,1476.557861328125,6469.03955078125,3307.777099609375
2021-12-29,3928.012451171875,6275.923828125,2731.508056640625,1485.757568359375,6359.02197265625,3299.689453125
2021-12-30,3893.856201171875,6275.923828125,2702.65380859375,1485.757568359375,6381.025390625,3267.339599609375
2022-01-03,3910.9345703125,6297.41650390625,2712.271728515625,1490.357421875,6403.029296875,3380.564453125
2022-01-04,3945.090576171875,6361.8955078125,2760.36181640625,1490.357421875,6491.04296875,3372.476806640625
2022-01-05,3808.464599609375,6404.880859375,2702.65380859375,1494.957275390625,6359.02197265625,3275.42724609375
2022-01-06,3876.77783203125,6426.375,2702.65380859375,1490.357421875,6315.0146484375,3332.03955078125
2022-01-07,3893.856201171875,6576.82373046875,2712.271728515625,1522.5565185546875,6293.01171875,3372.476806640625
2022-01-10,3859.69970703125,6533.83837890625,2712.271728515625,1559.35546875,6249.00439453125,3315.8642578125
2022-01-11,3893.856201171875,6619.81005859375,2712.271728515625,1540.9560546875,6116.98291015625,3307.777099609375
2022-01-12,3910.9345703125,6619.81005859375,2750.743896484375,1563.9552001953125,6138.98681640625,3323.951904296875
2022-01-13,3945.090576171875,6619.81005859375,2741.126220703125,1563.9552001953125,6227.00146484375,3380.564453125
2022-01-14,3910.9345703125,6748.767578125,2760.36181640625,1559.35546875,6160.990234375,3388.65185546875
