Date,ASII.JK,BBCA.JK,BMRI.JK,ICBP.JK,KLBF.JK,SMGR.JK,TLKM.JK,UNTR.JK
2022-09-26,4890.08837890625,7354.109375,3728.3154296875,8547.73046875,1739.29833984375,6708.55859375,3738.946044921875,20399.3359375
2022-09-27,4872.56005859375,7244.998046875,3768.621826171875,8335.8046875,1739.29833984375,6776.32177734375,3722.179443359375,20460.595703125
2022-09-28,4767.39794921875,7266.8203125,3748.46875,8288.7099609375,1711.093505859375,6685.970703125,3747.329345703125,20215.560546875
2022-09-29,4749.87060546875,7310.46484375,3728.3154296875,8335.8046875,1720.4951171875,6776.32177734375,3722.179443359375,20292.134765625
2022-09-30,4644.70751953125,7463.22021484375,3798.85107421875,8147.423828125,1720.4951171875,6753.73388671875,3738.946044921875,20108.35546875
2022-10-03,4644.70751953125,7419.57568359375,3738.392578125,8218.06640625,1701.6917724609375,6731.14599609375,3738.946044921875,20215.560546875
2022-10-04,4714.81591796875,7463.22021484375,3718.2392578125,8029.6875,1706.392578125,6731.14599609375,3722.179443359375,20705.6328125
2022-10-05,4679.76171875,7375.93115234375,3738.392578125,8147.423828125,1734.597412109375,6618.20751953125,3738.946044921875,20764.017578125
2022-10-06,4627.18017578125,7354.109375,3758.545166015625,8312.2568359375,1739.29833984375,6618.20751953125,3713.796142578125,20622.765625
2022-10-07,4539.54443359375,7157.70849609375,3798.85107421875,8382.8994140625,1734.597412109375,6527.85595703125,3646.72998046875,20716.93359375
2022-10-10,4557.07080078125,7244.998046875,3748.46875,8429.994140625,1781.6055908203125,6640.79541015625,3705.412841796875,20277.482421875
2022-10-11,4574.59814453125,7201.353515625,3748.46875,8477.0888671875,1725.1959228515625,6798.90966796875,3613.196533203125,20214.70703125
2022-10-12,4512.7705078125,7266.8203125,3798.85107421875,8429.994140625,1786.3062744140625,6776.32177734375,3638.3466796875,20308.873046875
2022-10-13,4512.7705078125,7223.17529296875,3819.00439453125,8335.8046875,1748.699951171875,6640.79541015625,3604.813232421875,20214.70703125
2022-10-14,4512.7705078125,7201.353515625,3788.774658203125,8194.51953125,1734.597412109375,6505.26806640625,3596.43017578125,21187.775390625
2022-10-17,4566.06982421875,7201.353515625,3808.927734375,8312.2568359375,1814.5111083984375,6776.32177734375,3629.963134765625,20654.158203125
2022-10-18,4512.7705078125,7244.998046875,3829.080810546875,8429.994140625,1786.3062744140625,6798.90966796875,3562.897216796875,20089.1484375
2022-10-19,4637.13720703125,7223.17529296875,3819.00439453125,8594.826171875,1861.519287109375,7002.19873046875,3520.980712890625,19963.587890625
2022-10-20,4566.06982421875,7419.57568359375,3990.3056640625,8948.0380859375,1908.52734375,7047.3740234375,3646.72998046875,19979.28515625
2022-10-21,4672.67138671875,7550.509765625,4171.68310546875,8877.396484375,1856.8184814453125,6866.6728515625,3655.11328125,20089.1484375
2022-10-24,4725.9716796875,7768.7333984375,4131.37646484375,8877.396484375,1875.6217041015625,6844.0849609375,3697.029541015625,20324.568359375
2022-10-25,4761.50537109375,7594.15380859375,4121.2998046875,8971.5859375,1880.322509765625,6753.73388671875,3680.26318359375,20089.1484375
2022-10-26,4672.67138671875,7463.22021484375,4111.22314453125,9230.6083984375,1917.928955078125,6753.73388671875,3663.49658203125,20842.490234375
2022-10-27,4725.9716796875,7594.15380859375,4111.22314453125,9254.15625,1889.72412109375,6934.435546875,3663.49658203125,20559.98828125
2022-10-28,4654.904296875,7637.79833984375,4111.22314453125,9230.6083984375,1899.1256103515625,7002.19873046875,3730.562744140625,20246.09375
2022-10-31,4725.9716796875,7681.44287109375,4252.294921875,9159.9658203125,1927.3304443359375,7182.90087890625,3680.26318359375,20277.482421875
2022-11-01,4672.67138671875,7681.44287109375,4191.8359375,8948.0380859375,1866.2200927734375,7250.6640625,3705.412841796875,19743.865234375
2022-11-02,4566.06982421875,7637.79833984375,4060.8408203125,9042.228515625,1852.11767578125,7318.4267578125,3537.7470703125,19273.025390625
2022-11-03,4530.53662109375,7681.44287109375,4101.14697265625,8995.1328125,1852.11767578125,7250.6640625,3462.2978515625,19461.361328125
2022-11-04,4566.06982421875,7659.62060546875,4091.070556640625,9089.3232421875,1847.4168701171875,7453.953125,3529.36376953125,19634.00390625
