Date,VQE,Nash,Benchmark
2022-08-22,233238928.69524372,233238928.69524372,188937951.0439587
2022-08-23,248047729.27766654,248047729.27766654,196339947.7500262
2022-08-24,252490415.46357355,252490415.46357355,199165120.38193876
2022-08-25,252490415.46357355,252490415.46357355,200109718.47375423
2022-08-26,252490415.46357355,252490415.46357355,199542959.61866495
2022-08-29,256192577.2665291,256192577.2665291,202715880.28595597
2022-08-30,262116133.2859717,262116133.2859717,206167891.38057244
2022-08-31,262116133.2859717,262116133.2859717,206356810.99893552
2022-09-01,273963219.7630901,273963219.7630901,212505140.63358253
2022-09-02,279886724.65899915,279886724.65899915,216334958.57551193
2022-09-05,298397789.2914446,298397789.2914446,226909928.04625833
2022-09-06,299138185.8655622,299138185.8655622,227317788.07866466
2022-09-07,297657290.4702599,297657290.4702599,227257698.61706275
2022-09-08,291733760.0125841,291733760.0125841,223805701.60357982
2022-09-09,292474233.272002,292474233.272002,224402523.49774978
2022-09-12,293955077.5437708,293955077.5437708,225218271.72482947
2022-09-13,296916893.89614224,296916893.89614224,227983356.294835
2022-09-14,296916893.89614224,296916893.89614224,227794432.44932568
2022-09-15,300619081.26086456,300619081.26086456,231723041.4440564
2022-09-16,290993337.8766997,290993337.8766997,224153505.96349233
2022-09-19,289512468.0431641,289512468.0431641,224849092.1478915
2022-09-20,288031572.6478617,288031572.6478617,223277641.5122386
2022-09-21,289512468.0431641,289512468.0431641,223526663.27364224
2022-09-22,303580820.9279357,303580820.9279357,231276454.48563498
2022-09-23,299878633.5632134,299878633.5632134,228481363.20108283
2022-09-26,285810229.5549082,285810229.5549082,221109383.06354925
2022-09-27,289512468.0431641,289512468.0431641,222204221.71795437
2022-09-28,286550677.2525594,286550677.2525594,220761588.557624
2022-09-29,292474233.272002,292474233.272002,224402523.49774978
2022-09-30,293214629.84611964,293214629.84611964,226132816.63155156
2022-10-03,293214629.84611964,293214629.84611964,225754977.39482537
2022-10-04,305061716.3232381,305061716.3232381,232658985.50292477
2022-10-05,302099951.09440017,302099951.09440017,230271772.55905867
2022-10-06,303580820.9279357,303580820.9279357,230898615.2489088
2022-10-07,306542586.1567736,306542586.1567736,230829877.38120085
2022-10-10,290252864.61728173,290252864.61728173,222612081.7503607
2022-10-11,290993337.8766997,290993337.8766997,222642144.78944138
2022-10-12,296176446.1984911,296176446.1984911,226064106.92611066
2022-10-13,297657290.4702599,297657290.4702599,226502011.68931794
2022-10-14,292474233.272002,292474233.272002,223457921.1787881
2022-10-17,293214629.84611964,293214629.84611964,223865781.21119443
2022-10-18,285810229.5549082,285810229.5549082,220164780.74458757
2022-10-19,284329359.72137266,284329359.72137266,219160094.59086508
2022-10-20,296176446.1984911,296176446.1984911,227386544.25465232
2022-10-21,293214629.84611964,293214629.84611964,226888490.87785774
2022-10-24,290252864.61728173,290252864.61728173,227146161.0453674
2022-10-25,287291124.9502106,287291124.9502106,224003275.25489002
2022-10-26,290993337.8766997,290993337.8766997,224909180.2097985
2022-10-27,294695550.80318874,294695550.80318874,228082129.0393566
2022-10-28,289512468.0431641,289512468.0431641,225604774.84849006
2022-10-31,294695550.80318874,294695550.80318874,228837803.28566277
2022-11-01,277665407.12781245,277665407.12781245,219456459.2949766
2022-11-02,276924984.99192804,276924984.99192804,218670745.94471055
2022-11-03,277665407.12781245,277665407.12781245,219456459.2949766
2022-11-04,277665407.12781245,277665407.12781245,219267539.67661348
2022-11-07,283588912.0237215,283588912.0237215,223097366.0728353
2022-11-08,278405803.7019301,278405803.7019301,219486480.0906567
2022-11-09,269520533.57718307,269520533.57718307,215536488.85236457
2022-11-10,257673472.66183144,257673472.66183144,208443562.52559698
2022-11-11,258413945.92124936,258413945.92124936,209229308.26527622
2022-11-14,259154368.05713376,259154368.05713376,208881499.67821747
2022-11-15,259894815.75478494,259894815.75478494,209667227.10961705
2022-11-16,264337450.81715843,264337450.81715843,210603175.3956316
2022-11-17,265818371.77422753,265818371.77422753,212363568.18507352
2022-11-18,265818371.7742275,265818371.7742275,213119238.2042335
2022-11-21,262806301.37714413,262806301.37714413,216442379.72613955
2022-11-22,268077483.5443636,268077483.5443636,218172733.4116216
2022-11-23,267324474.3697104,267324474.3697104,220023230.8315045
2022-11-24,271089604.4891529,271089604.4891529,220967828.92331997
2022-11-25,270336527.9175585,270336527.9175585,219963134.31530505
2022-11-28,271842596.8145708,271842596.8145708,220748865.9738508
2022-11-29,270336527.9175585,270336527.9175585,226081386.82973784
2022-11-30,280125916.77581483,280125916.77581483,228129466.35522336
2022-12-01,271089604.4891529,271089604.4891529,227086095.5188863
2022-12-02,269124090.6440651,269124090.6440651,224553559.3399594
2022-12-05,265344200.5945025,265344200.5945025,220750069.06761855
2022-12-06,262320352.58194658,262320352.58194658,221215094.77614522
2022-12-07,255516698.7660046,255516698.7660046,220323952.3538352
2022-12-08,257028580.64919433,257028580.64919433,217032316.75562343
2022-12-09,259296538.26786128,259296538.26786128,215153974.14872462
