Date,Asset_A,Asset_B,pA_00,pA_01,pA_10,pA_11,pB_00,pB_01,pB_10,pB_11
2021-08-10,TLKM.JK,TPIA.JK,2.2013301924997273,1.3951893447654575,-2.57440734584915,-2.8847573053267315,3.086025925185137,-4.696475979373698,1.8050833179759886,-4.0124899368270235
2021-09-10,BBCA.JK,ASII.JK,1.3288132146023388,0.7593113017863112,-1.3553722819128127,-2.205676981101715,1.693700338647403,-1.704105079223299,1.1770973749482652,-3.472191970416785
2021-09-10,BBCA.JK,TLKM.JK,1.1693231557586263,0.9850733580536364,-1.330975759521097,-2.1850271133058516,1.4573422502508162,-2.6661108421856428,1.2642579596889498,-2.7119538094909
2021-09-10,BBCA.JK,TPIA.JK,1.2406279712018322,0.9585696227442456,-1.8921975898360839,-1.9372643271400791,2.4311058803251537,-3.7511795120682945,1.1157514859032978,-4.053477158654393
2021-09-10,ASII.JK,TLKM.JK,1.6101609764072358,1.1970868755122863,-2.6710407328348396,-3.084395386205773,1.5989475480431075,-2.3847330777994356,0.9638876998478416,-2.826589194981578
2021-09-10,ASII.JK,TPIA.JK,1.4597037318463066,1.4175752817622873,-1.7043658001891318,-3.6194021841999926,1.1751753483334604,-2.5411918608604234,2.1574082740271954,-4.834910911208155
2021-09-10,TLKM.JK,TPIA.JK,1.384708603353756,1.3368916065860104,-2.6403824278120056,-2.722435756087567,2.167871715633411,-3.5975033782334234,1.1637606847630435,-4.110581453448185
2021-10-11,BBCA.JK,ASII.JK,4.190797718875604,1.6217277994216337,-1.172342313295002,-2.1581773195245915,5.580425231602755,-2.734295550790385,2.8988457947904696,-3.638535214173613
2021-10-11,BBCA.JK,TLKM.JK,4.41922273132614,2.1310723746991203,-1.323252221809724,-2.3062621197149866,3.9753361497133977,-2.0885722834927387,2.8807039745430956,-2.5183700811792225
2021-10-11,BBCA.JK,TPIA.JK,5.381508610052124,2.178606103429634,-1.8501444451199083,-1.8629250614973518,4.84574268265466,-3.4831445842955118,3.2801599662194922,-4.420481259275639
2021-10-11,ASII.JK,TLKM.JK,5.1900495817460826,3.5117690403657837,-3.709463406894997,-3.2363789006434813,4.070075097665583,-1.680796636457676,2.1344360962583586,-2.607042337205115
2021-10-11,ASII.JK,TPIA.JK,6.1547163373381855,3.7077981406611977,-2.1059431656337866,-3.810309356584845,3.5111047555231845,-2.9083974460070388,5.08641901736231,-4.851541612991993
2021-10-11,TLKM.JK,TPIA.JK,3.727472231828339,3.2136074569390622,-3.196721863122793,-2.132070798715794,3.617376769302588,-3.3644630466129875,5.363555739156744,-4.463691237900551
2021-11-10,BBCA.JK,ASII.JK,3.673190577654257,1.7782735628876105,-0.7339405400406877,-2.143635882775496,5.6360737818769335,-2.1902303442172033,2.5540941994773863,-3.633856901933696
2021-11-10,BBCA.JK,TLKM.JK,3.7273519441047602,1.9989728551856674,-1.293332434595045,-1.9848777801741475,3.6148289447129645,-1.6528729885613134,2.5580981573915382,-2.359048880578256
2021-11-10,BBCA.JK,TPIA.JK,4.686426290963935,1.6722404932154973,-1.6857988037952154,-1.7676124889100364,5.432523008846913,-3.688825805215475,3.1073540456628055,-4.44883768527429
2021-11-10,ASII.JK,TLKM.JK,4.540922563300302,4.866080105361389,-3.5790292541900346,-3.0183991697261576,3.7734488815708027,-1.799574587033923,1.9884047823980078,-2.193248162405406
2021-11-10,ASII.JK,TPIA.JK,5.8653499531538165,3.856082362721542,-2.5990408748797718,-3.403368074252772,4.132317015283113,-2.89111881065136,5.002614431219807,-5.013880139757205
2021-11-10,TLKM.JK,TPIA.JK,3.668142860119612,2.8483410918744974,-2.7034135010975904,-1.8678661533424858,4.514282198645895,-3.4024137713121205,4.590027232951284,-4.601740911770085
2021-12-09,BBCA.JK,ASII.JK,2.8330460940664612,1.3437907710605954,-0.7056876870728059,-2.854479343157923,3.777873915737523,-2.48714979071904,3.0722386012404246,-4.202385077332671
2021-12-09,BBCA.JK,TLKM.JK,2.7551093322295404,1.5392367362317803,-1.9467667887632978,-2.4090371142805345,3.4301778075327394,-1.9049786006030467,2.410470124829056,-2.4999327370784563
2021-12-09,BBCA.JK,TPIA.JK,2.979398406499772,1.494967870745048,-2.409634766555119,-2.1877174424909316,3.7210081379243047,-2.901114947712332,1.6170362604398667,-2.9922243966555304
2021-12-09,ASII.JK,TLKM.JK,2.986176737226215,4.409517618308227,-4.836438901496577,-3.0314790456614635,3.426252529137059,-1.482658471160276,2.4161796206773185,-2.5736681270195
2021-12-09,ASII.JK,TPIA.JK,3.94606685825092,3.231151235862773,-2.8429664862735176,-3.9530085926131977,2.809643284727103,-2.3875697546044727,2.978447011908411,-3.3093939153086427
2021-12-09,TLKM.JK,TPIA.JK,3.698605905652178,2.544584458216843,-2.4885771334502103,-2.143711403725553,3.403454673016597,-3.4580566660700724,2.434119905976375,-2.604786679537102
2022-01-10,BBCA.JK,ASII.JK,1.1436674692820017,0.924551275706941,-0.9095901815464332,-2.328711649547474,1.3037661032534824,-2.407509839533378,1.698884488423337,-3.520245987340736
2022-01-10,BBCA.JK,TLKM.JK,1.0502403219724685,1.020282844370474,-1.3498600939966705,-2.1085766933223553,1.8990797118159346,-2.3511836520707585,1.323505510644181,-2.5351725491618056
2022-01-10,BBCA.JK,TPIA.JK,1.157902830905808,0.8896836710145787,-1.81813219724992,-1.876888834932505,1.4655061349021243,-2.563959033827382,0.9554994758694784,-2.7094214765057774
2022-01-10,ASII.JK,TLKM.JK,1.0972208710712386,1.9976800916707247,-4.425466842885938,-2.6492171548611925,1.6408729743503214,-1.3119871007013104,1.5698801028616884,-2.938105711154057
2022-01-10,ASII.JK,TPIA.JK,1.3772278585044075,1.5587826548022279,-2.6640893729606767,-3.5699959419378624,1.2484868228520984,-1.9028878458639444,1.2056776482924483,-3.29673667535465
2022-01-10,TLKM.JK,TPIA.JK,1.6864801241588803,1.566180103472764,-2.675144351331173,-2.280405699245642,1.5402219448056298,-2.806303766399076,1.0598100873156828,-2.5494822934787655
2022-02-09,BBCA.JK,ASII.JK,3.0630907341247364,2.154021719925684,-0.7651185659175623,-2.1732063146136316,2.2774241786830296,-2.790080511196672,3.360090784656738,-2.620619814800777
2022-02-09,BBCA.JK,TLKM.JK,2.770789407189355,2.518725665906601,-1.2589911884496234,-2.1357487834382995,5.265758583310613,-2.8311218005931242,3.034998229709295,-2.215959508124573
2022-02-09,BBCA.JK,TPIA.JK,2.7715702249021112,2.405482731116644,-1.7665469401271907,-1.7883557853809808,3.5133064968085597,-2.1523155878759344,3.2497173818219682,-2.3728095840273324
2022-02-09,ASII.JK,TLKM.JK,2.793133060852459,2.797935898433851,-2.9712233503023233,-2.517012957063652,4.556771856567912,-1.8780755725985432,3.2291941056209224,-2.653496014176553
2022-02-09,ASII.JK,TPIA.JK,2.9632730325927104,2.6118920349370867,-1.9709206063155806,-3.784409725734082,3.1584254922929045,-1.5916738276017652,3.4491236436620123,-2.81334607438191
2022-02-09,TLKM.JK,TPIA.JK,3.9401612832104598,3.8379416286257015,-2.624477355579333,-2.1452250194164626,3.721584335831158,-2.659614921691028,3.1171769388075883,-1.9852302970754097
2022-03-14,BBCA.JK,ASII.JK,2.3351569334414592,2.185358672132458,-1.5519401918428075,-1.9894955928107925,2.069995995886811,-1.9227184022346862,3.282831408242268,-2.4516787106442024
2022-03-14,BBCA.JK,TLKM.JK,2.5019308090791372,2.093017482259961,-1.667095613522258,-2.0246371842453845,3.02998651065478,-2.3703637932721575,2.4139284284574853,-2.544165022555632
2022-03-14,BBCA.JK,TPIA.JK,2.5403999894048095,1.521271619296934,-1.630047519979969,-2.1379863456838315,3.045767365206387,-4.454593465657198,3.0798616827907463,-5.375192857148331
2022-03-14,ASII.JK,TLKM.JK,3.1389829893695387,1.800634459253723,-1.85710925203348,-2.509257013186919,3.1615486879635912,-3.184856502985346,2.0725695831943054,-2.1685844707410795
2022-03-14,ASII.JK,TPIA.JK,2.1268066159155237,3.2105269827511793,-1.90721590558809,-3.0570159127682532,2.7456175980480455,-4.087721883568045,3.2411266888825456,-6.0183582712270995
2022-03-14,TLKM.JK,TPIA.JK,2.6384368897680264,2.687477088515537,-2.7039921464854615,-2.0854428654957444,3.3525233795448695,-4.287692438327729,2.815304417282316,-5.716024276207416
2022-04-12,BBCA.JK,ASII.JK,2.753360824915132,2.4499277958914574,-2.1480048144020456,-2.300287495111572,3.5183561206443024,-2.0513247701820707,4.3319781998896625,-2.6617229954881294
2022-04-12,BBCA.JK,TLKM.JK,2.733205014487217,2.513431181894183,-2.1143454576499954,-2.355587370120537,2.746458681159872,-2.036955860746781,3.268184665703287,-2.612181655272857
2022-04-12,BBCA.JK,TPIA.JK,2.925858362744199,1.715697304530202,-1.8472537433566236,-3.1896010144010627,4.293392491081885,-4.058255206341475,3.6466825074252167,-7.2459657975701335
2022-04-12,ASII.JK,TLKM.JK,4.9318654990659825,2.592274349524519,-1.890433537931053,-2.8445268745474115,3.2436446153685585,-3.587398624360713,2.7745044529709904,-1.5210773541408993
2022-04-12,ASII.JK,TPIA.JK,3.517870039646549,5.030896236664339,-2.275524564939635,-2.8175015153823963,3.7091779204868955,-5.824494141830428,4.1773786191396995,-6.009598542727867
2022-04-12,TLKM.JK,TPIA.JK,3.0390541812749063,2.9673459728155045,-2.1256450492148398,-2.8089187101686117,4.474801394027515,-5.665563877002419,3.3469709063935444,-6.0794601052797415
2022-05-23,BBCA.JK,ASII.JK,1.9539557820422968,1.2700473455869001,-2.0731081016762114,-4.019366332934846,2.7176646501562214,-2.3836443297342154,3.3510465638610842,-4.089352403607049
2022-05-23,BBCA.JK,TLKM.JK,1.665755002778165,1.695029812142112,-2.2308186883520134,-3.7065898019189145,1.7708320669821107,-1.9261573874776754,2.159815012520148,-3.6845660324365532
2022-05-23,BBCA.JK,TPIA.JK,1.7891327179613148,1.517281941708373,-1.9777176789896191,-3.8797641767458164,2.2034469376928687,-3.1948702668298856,2.4989926155687305,-5.233321698464151
2022-05-23,ASII.JK,TLKM.JK,3.1677803057291616,2.7854168822767265,-2.938502037923583,-3.5838102238409086,2.063406039678238,-3.402782701613312,1.7150401570674512,-2.5630078802936636
2022-05-23,ASII.JK,TPIA.JK,2.9329846211221535,3.104068168529094,-3.435200520614248,-3.3470774453387895,2.0372187590127973,-4.536667216066962,2.786816038301831,-4.368130261637648
2022-05-23,TLKM.JK,TPIA.JK,2.0313081886785054,1.8279851781780891,-1.9981842279781923,-3.5462268118382476,2.389908966509104,-4.722548310342756,2.2514640321578825,-4.291176202950359
2022-06-23,BBCA.JK,ASII.JK,2.0332386857315496,1.1867746404033501,-1.6089275609982896,-4.352809801566549,2.3913100057819205,-2.3770599521414284,2.1393895991381,-4.336718074733145
2022-06-23,BBCA.JK,TLKM.JK,1.3710344731730846,1.979327320176923,-1.645521825098414,-3.738812057742955,1.344285821874402,-1.7612401894363456,1.3813713107634646,-3.3888748662485533
2022-06-23,BBCA.JK,TPIA.JK,1.3995355198467143,1.7678600204830015,-1.8978647832972904,-3.9802866134058505,1.834484111107732,-2.2612923768685027,1.799420568307505,-2.405127965678337
2022-06-23,ASII.JK,TLKM.JK,2.2213975420654104,2.3034473424649615,-2.478033126569491,-4.003876203948201,1.4464066126878647,-2.8717083962186587,1.2235482704153862,-2.856454993174949
2022-06-23,ASII.JK,TPIA.JK,2.585030527767252,1.9288743833765132,-3.7174649540269744,-3.336509261342646,1.674709274613703,-2.9443146705595855,1.9903732282249855,-1.8856694659695328
2022-06-23,TLKM.JK,TPIA.JK,1.4695708025725438,1.2311062578211378,-1.813476942970804,-3.4343654859939488,1.8357118438997149,-3.0811366275764054,1.7891200166174706,-1.9010606008768718
2022-07-22,BBCA.JK,ASII.JK,2.112201537912579,1.413666303950979,-1.213748888042839,-4.395655972528134,2.1827336697106925,-3.060338297480346,2.0036906009794313,-4.837931123720903
2022-07-22,BBCA.JK,TLKM.JK,1.6144920284836224,2.0358031907371745,-1.5793705122773583,-4.179606830935009,1.6735561261037981,-1.8933931073630437,1.3378714375852607,-3.449370104914202
2022-07-22,BBCA.JK,TPIA.JK,1.6714964001212218,1.891284894672937,-2.8629300450959465,-3.3352614051658587,1.5770837401361029,-2.224281339448402,1.8703626294523343,-2.324267369057545
2022-07-22,ASII.JK,TLKM.JK,2.1391188474435308,2.0540153959030785,-3.9540752602818054,-4.369312662283835,1.8391782485498287,-2.400398700319875,1.146768988609072,-3.209603642490981
2022-07-22,ASII.JK,TPIA.JK,2.513929296925917,1.8315153289534063,-5.146691390463878,-3.873532871097965,1.4804545680975396,-2.430350388179744,1.9884649508328,-2.1881398571045976
2022-07-22,TLKM.JK,TPIA.JK,1.851047676025465,1.2676936542412363,-2.4204704080574384,-3.0478113973849785,1.3764425067813777,-3.1944130526044674,2.2079843406489505,-1.727263237884581
2022-08-23,BBCA.JK,ASII.JK,1.969583292611777,1.6351647965465426,-0.8476117434467046,-3.2281253895680293,2.481881637115526,-2.17468705834098,2.272598466667114,-4.118638363659625
2022-08-23,BBCA.JK,TLKM.JK,1.7392152405358619,1.9324090744790292,-1.57599731998789,-2.908338873136621,2.3425404581714835,-2.4008763751493465,1.5448350921999068,-2.6972963924971167
2022-08-23,BBCA.JK,TPIA.JK,1.8448273280488505,1.7873852010724605,-2.3299783083092116,-2.295520963812424,2.010267386952109,-2.0988082513207433,1.8625464589024208,-2.266092415703691
2022-08-23,ASII.JK,TLKM.JK,2.676955599957882,2.012499849543974,-2.710194596916786,-3.88068325250909,2.130884631801068,-2.3615484436382497,1.9102414636339597,-2.745318592214675
2022-08-23,ASII.JK,TPIA.JK,3.2237817832519124,1.8540993045931036,-4.5428495428333955,-2.7269141398464014,2.074740601853193,-2.345451231746161,1.7916259225112285,-2.070476450687818
2022-08-23,TLKM.JK,TPIA.JK,2.2362989139206855,1.892859703962734,-2.8862706954771755,-2.4361706599894326,1.7193912272150393,-2.697596376656227,2.233967902101883,-1.5903676563029148
2022-09-21,BBCA.JK,ASII.JK,1.275463044923524,1.630792088206897,-0.8700440538785685,-2.751948755396876,2.249685258273685,-2.85811017416407,1.9093829547156005,-3.597263496211655
2022-09-21,BBCA.JK,TLKM.JK,1.5925462258962622,1.1647287823254493,-1.472453545538764,-2.497729131112755,1.7785867358784468,-2.8691220624811646,1.1263055047794424,-2.9364274146174885
2022-09-21,BBCA.JK,TPIA.JK,1.4986230006525059,1.4017495297093727,-2.676503562786475,-1.587501143315901,2.563539566391984,-2.354946022529945,2.576704169123111,-3.178049980860473
2022-09-21,ASII.JK,TLKM.JK,2.2614458846960996,1.9697042057397471,-2.5281511704391764,-4.256251664709037,1.5846244488864065,-2.4936337122911634,1.485417172751792,-3.321530815112678
2022-09-21,ASII.JK,TPIA.JK,2.6793868773969303,1.5990753911493947,-3.897923692081984,-2.984485157541348,2.9577227828640185,-2.942888314155065,2.0274805866084877,-2.5798865841491705
2022-09-21,TLKM.JK,TPIA.JK,1.6930946438221697,1.4144484001034883,-3.2745056244284934,-2.7037359521871585,3.169486041532138,-2.9095204803010137,1.7310120244731202,-2.51612814120759
2022-10-20,BBCA.JK,ASII.JK,0.9598894149135998,1.1927619897995216,-0.698585072116614,-2.486626231102221,1.7281294245107504,-2.6596136015799576,1.5620436621314588,-1.4610718970374383
2022-10-20,BBCA.JK,TLKM.JK,1.2385907906917675,0.8047211108874932,-1.3845139023582884,-1.909752083645627,1.4654455666572197,-3.3082826272255037,0.7714281315891035,-2.686796984308784
2022-10-20,BBCA.JK,TPIA.JK,0.9231167009962373,1.1682505480443015,-2.411025273670188,-1.1267541975169666,2.146679368586962,-2.4730023032629647,2.2542000432560285,-3.8499007998034824
2022-10-20,ASII.JK,TLKM.JK,1.4721084313735395,1.8308404831439995,-1.8630884950728115,-2.324182653796945,1.3562160725712264,-2.677909580439738,1.1973248170741568,-3.073012446663313
2022-10-20,ASII.JK,TPIA.JK,2.20759288042337,1.1748015231176832,-2.223141056782582,-2.028882833261027,2.580864965298873,-3.319751856382043,1.8379345589889622,-2.839626624281326
2022-10-20,TLKM.JK,TPIA.JK,1.1314663807281884,1.3368262731375347,-3.1264322592233023,-2.7490794008751838,2.946333013110794,-2.7276315580362445,1.5858408574796377,-3.337496322854196
