Iteration,Theta_0,Theta_1,Theta_2,Theta_3,Theta_4,Theta_5,Theta_6,Theta_7,Theta_8,Theta_9,Theta_10,Theta_11,Theta_12,Theta_13,Theta_14,Theta_15
57,5.024931494429409,2.8209156855434223,4.846861392551198,6.055780219271997,1.5403131590107677,6.255332825601989,4.646976084509301,3.280274906897972,1.6711244432445975,3.581813742349361,1.48087472698095,4.777480071484204,5.121411082083602,7.192863676380396,2.2488396888402424,1.7766837939894635
58,5.063321883155117,2.8593060742691305,4.80847100382549,6.094170607997706,1.5019227702850597,6.293723214327697,4.6853664732350095,3.3186652956236804,1.6327340545188895,3.620204131075069,1.442484338255242,4.739089682758496,5.1598014708093105,7.154473287654688,2.210449300114534,1.8150741827151715
59,5.0404833589834155,2.836467550097429,4.831309527997192,6.071332083826004,1.5247612944567617,6.316561738499399,4.708204997406711,3.2958267714519787,1.6555725786905915,3.5973656069033675,1.41964581408354,4.716251158586794,5.136962946637609,7.131634763482986,2.1876107759428325,1.7922356585434696
60,4.9222475212972885,2.954703387783556,4.713073690311065,6.189567921512131,1.6429971321428887,6.434797576185526,4.826440835092838,3.4140626091381057,1.7738084163767185,3.7156014445894945,1.537881651769667,4.598015320900667,5.018727108951482,7.249870601169113,2.0693749382567055,1.9104714962295966
61,4.91055928062659,2.9430151471128565,4.724761930981764,6.20125616218283,1.6546853728135877,6.423109335514827,4.838129075763537,3.425750849808805,1.7854966570474176,3.7272896852601938,1.549569892440366,4.609703561571366,5.007038868280783,7.261558841839812,2.0810631789274048,1.9221597369002956
62,4.950115955557965,2.9825718220442314,4.685205256050389,6.240812837114205,1.6151286978822128,6.383552660583452,4.877685750694912,3.46530752474018,1.7459399821160426,3.687733010328819,1.510013217508991,4.570146886639991,4.967482193349408,7.222002166908437,2.1206198538587797,1.9617164118316706
63,4.947126218305005,2.985561559297191,4.688194993303348,6.243802574367164,1.6121389606292533,6.386542397836411,4.8806754879478715,3.4682972619931394,1.7429502448630831,3.6907227475817783,1.5130029547619506,4.5671571493870315,4.9644924560964485,7.224991904161397,2.123609591111739,1.958726674578711
64,4.904115328499728,2.9425506694919132,4.731205883108625,6.286813464172441,1.5691280708239759,6.4295532876416885,4.923686377753149,3.4252863721878617,1.6999393550578057,3.733733637387056,1.4699920649566731,4.610168039192309,4.921481566291171,7.181981014356119,2.166620480917017,1.9157157847734336
65,4.901935900179934,2.9447300978117066,4.729026454788832,6.284634035852648,1.5713074991437692,6.431732715961482,4.921506949433355,3.427465800507655,1.702118783377599,3.7315542090672627,1.4721714932764665,4.612347467512103,4.9193021379713775,7.179801586036326,2.16879990923681,1.9135363564536403
66,4.932007373244604,2.974801570876376,4.698954981724162,6.254562562787978,1.6013789722084386,6.401661242896813,4.891435476368685,3.4575372735723247,1.7321902564422684,3.7616256821319323,1.5022429663411359,4.642418940576772,4.889230664906708,7.209873059100995,2.19887138230148,1.9436078295183097
67,4.971266878833034,2.935542065287946,4.738214487312592,6.215303057199548,1.640638477796869,6.3624017373083825,4.852175970780255,3.4182777679838945,1.7714497620306988,3.8008851877203624,1.4629834607527055,4.603159434988342,4.849971159318278,7.170613553512565,2.23813088788991,1.9043483239298793
68,4.945480593019765,2.909755779474677,4.712428201499323,6.241089343012817,1.6664247636101381,6.336615451495113,4.877962256593524,3.3924914821706253,1.7456634762174297,3.7750989019070933,1.4371971749394363,4.577373149175073,4.875757445131547,7.196399839325834,2.263917173703179,1.8785620381166102
69,5.051839991727536,3.0161151781824476,4.818787600207094,6.347448741720588,1.5600653649023675,6.230256052787342,4.771602857885753,3.2861320834628547,1.639304077509659,3.6687395031993226,1.543556573647207,4.471013750467302,4.769398046423776,7.090040440618063,2.1575577749954085,1.9849214368243808
70,4.967990269060044,3.099964900849939,4.734937877539602,6.263599019053096,1.4762156422348758,6.314105775454834,4.687753135218261,3.202282360795363,1.7231538001771507,3.752589225866814,1.4597068509797153,4.38716402779981,4.685548323756284,7.006190717950571,2.2414074976629,1.9010717141568891
71,4.957278559582312,3.1106766103276717,4.72422616806187,6.274310728530828,1.465503932757143,6.3248174849325665,4.677041425740529,3.1915706513176305,1.7338655096548834,3.7418775163890814,1.470418560457448,4.397875737277542,4.696260033234016,6.995479008472839,2.2306957881851672,1.8903600046791564
72,4.931676293200813,3.0850743439461734,4.698623901680372,6.24870846214933,1.4911061991386414,6.350419751314065,4.702643692122027,3.217172917699129,1.7594677760363817,3.7674797827705797,1.4960208268389463,4.42347800365904,4.670657766852518,6.969876742091341,2.205093521803669,1.9159622710606548
73,4.875640101272681,3.0290381520180407,4.642587709752239,6.304744654077463,1.547142391066774,6.294383559385932,4.646607500193895,3.161136725770996,1.703431584108249,3.8235159746987124,1.552057018767079,4.479514195587173,4.7266939587806505,7.025912934019473,2.2611297137318016,1.9719984629887874
74,4.889337720857927,3.0153405324327944,4.656285329337486,6.3184422736627095,1.5608400106520204,6.308081178971179,4.660305119779141,3.1748343453562424,1.6897339645230027,3.8372135942839587,1.5657546383523253,4.49321181517242,4.712996339195404,7.03961055360472,2.2474320941465553,1.9583008434035412
75,4.900747347477831,3.0267501590526984,4.66769495595739,6.3070326470428055,1.5722496372719243,6.319490805591083,4.671714746399045,3.1862439719761464,1.6783243379030988,3.8486232209038627,1.5543450117324213,4.504621441792324,4.7015867125755,7.028200926984816,2.2588417207664593,1.9697104700234451
76,4.908976314789193,3.0349791263640604,4.675923923268751,6.298803679731444,1.5640206699605623,6.311261838279721,4.663485779087684,3.1780150046647844,1.6865533052144608,3.8568521882152247,1.5625739790437834,4.496392474480962,4.709815679886861,7.036429894296178,2.2670706880778213,1.961481502712083
77,4.882641620614848,3.0613138205384054,4.649589229094406,6.272468985557099,1.5376859757862171,6.337596532454066,4.689820473262029,3.1516803104904394,1.6602186110401156,3.8831868823895697,1.5889086732181286,4.522727168655307,4.683480985712516,7.062764588470523,2.2407359939034763,1.9878161968864283
78,4.873826057650322,3.0524982575738795,4.64077366612988,6.263653422592573,1.546501538750743,6.32878096948954,4.681004910297503,3.1428647475259135,1.6690341740046415,3.8920024453540956,1.5977242361826545,4.531542731619833,4.692296548677042,7.0715801514350485,2.2319204309389504,1.9966317598509542
79,4.866544602601283,3.0452168025248407,4.64805512117892,6.256371967543534,1.5537829937997818,6.3360624245385795,4.673723455248464,3.1501462025749523,1.6763156290536803,3.884720990305057,1.6050056912316932,4.524261276570794,4.6995780037260815,7.078861606484088,2.2246389758899117,1.9893503048019154
80,4.839340671286085,3.072420733840038,4.675259052494117,6.229168036228336,1.5809869251149795,6.308858493223382,4.700927386563661,3.1773501338901498,1.703519560368878,3.9119249216202543,1.5778017599164955,4.497057345255596,4.672374072410884,7.106065537799285,2.251842907205109,1.9621463734867177
81,4.830599174038541,3.0636792365924945,4.666517555246573,6.2379095334758805,1.5722454278674356,6.300116995975838,4.709668883811205,3.1860916311376934,1.7122610576164219,3.920666418867798,1.5690602626689516,4.488315848008052,4.66363257516334,7.114807035046829,2.2431014099575655,1.9708878707342616
82,4.816618027190668,3.077660383440368,4.680498702094447,6.223928386628007,1.5862265747153093,6.286135849127964,4.695687736963332,3.17211048428982,1.6982799107685482,3.9346475657156716,1.555079115821078,4.502296994855926,4.649651428315466,7.128788181894703,2.257082556805439,1.956906723886388
83,4.789976043644826,3.1043023669862104,4.707140685640288,6.250570370173849,1.6128685582611515,6.312777832673806,4.66904575341749,3.1454685007439775,1.671637927222706,3.961289549261514,1.5284371322752357,4.475655011310084,4.623009444769624,7.102146198348861,2.230440573259597,1.9302647403405457
84,4.8090742429486415,3.1234005662900257,4.726238884944104,6.269668569477664,1.593770358957336,6.331876031977622,4.688143952721306,3.164566700047793,1.6525397279188905,3.9421913499576986,1.5093389329714202,4.4947532106139,4.64210764407344,7.121244397652677,2.2113423739557816,1.9111665410367302
85,4.819304834584756,3.1336311579261404,4.736469476580218,6.279899161113779,1.6040009505934507,6.321645440341507,4.677913361085191,3.1747972916839076,1.6423091362827758,3.931960758321584,1.519569524607535,4.484522618977786,4.652338235709554,7.131474989288791,2.201111782319667,1.921397132672845
86,4.8010843526814915,3.115410676022876,4.754689958483483,6.261678679210514,1.5857804686901866,6.303424958438243,4.696133842988456,3.193017773587172,1.6240886543795117,3.950181240224848,1.537790006510799,4.50274310088105,4.670558717612819,7.1496954711920555,2.219332264222931,1.9031766507695809
87,4.793447394160305,3.107773717501689,4.747052999962296,6.269315637731701,1.5781435101689996,6.31106191695943,4.703770801509642,3.200654732108359,1.6317256129006987,3.942544281703661,1.545426965031986,4.495106142359863,4.678195676134005,7.157332429713242,2.2269692227441182,1.910813609290768
88,4.786417753642597,3.1148033580193966,4.754082640480004,6.2763452782494085,1.5711138696512923,6.318091557477137,4.696741160991935,3.1936250915906514,1.6246959723829915,3.9495739222213686,1.5383973245142788,4.488076501842156,4.671166035616298,7.16436207023095,2.2199395822264107,1.9178432498084752
89,4.767726083075036,3.096111687451835,4.735390969912443,6.2950369488169695,1.5898055402188536,6.336783228044698,4.678049490424374,3.17493342102309,1.6060043018154302,3.96826559278893,1.55708899508184,4.506768172409717,4.689857706183859,7.183053740798511,2.2012479116588493,1.9365349203760365
90,4.767061649817051,3.096776120709821,4.736055403170428,6.294372515558984,1.5891411069608679,6.337447661302684,4.678713923682359,3.175597854281076,1.6053398685574445,3.968930026046916,1.5564245618238544,4.507432605667702,4.689193272925873,7.183718174056496,2.2005834784008633,1.9358704871180508
91,4.753879878000023,3.0835943488927935,4.749237174987456,6.2811907437419565,1.5759593351438403,6.324265889485656,4.665532151865332,3.1624160824640484,1.592158096740417,3.9557482542298885,1.5432427900068268,4.494250833850675,4.676011501108846,7.196899945873524,2.187401706583836,1.9226887153010233
92,4.7347288420739115,3.1027453848189053,4.730086139061344,6.262039707815845,1.5568082992177286,6.3051148535595445,4.64638111593922,3.1432650465379366,1.6113091326665288,3.9748992901560003,1.524091754080715,4.513401869776787,4.695162537034958,7.177748909947412,2.168250670657724,1.9035376793749115
93,4.717795195040529,3.119679031852288,4.7131524920279615,6.278973354849227,1.539874652184346,6.288181206526162,4.663314762972602,3.1601986935713193,1.5943754856331462,3.991832937189383,1.5410254011140976,4.496468222743404,4.71209618406834,7.194682556980794,2.1851843176911068,1.920471326408294
94,4.714806179230507,3.116690016042266,4.716141507837984,6.281962370659249,1.5368856363743237,6.291170222336184,4.666303778782624,3.1631877093813414,1.5973645014431685,3.988843921379361,1.54401441692412,4.499457238553426,4.709107168258318,7.197671572790816,2.1821953018810847,1.9234603422183163
95,4.720160927435116,3.122044764246875,4.710786759633375,6.27660762245464,1.5422403845789325,6.296524970540793,4.671658526987233,3.1578329611767324,1.6027192496477773,3.983489173174752,1.538659668719511,4.494102490348817,4.714461916462927,7.203026320995425,2.1875500500856937,1.9181055940137075
