Date,ASII.JK,BBCA.JK,TLKM.JK,TPIA.JK
2021-10-25,4341.63671875,6729.97998046875,3057.065185546875,1921.796630859375
2021-10-26,4413.3994140625,6729.97998046875,3073.240234375,1896.9189453125
2021-10-27,4305.75537109375,6662.904296875,3065.15283203125,1903.138427734375
2021-10-28,4305.75537109375,6595.828125,3032.802978515625,1847.1636962890625
2021-10-29,4323.69580078125,6685.26318359375,3073.240234375,1890.69970703125
2021-11-01,4323.69580078125,6618.18701171875,2992.365478515625,1890.69970703125
2021-11-02,4233.99267578125,6528.75146484375,2960.015625,1865.8218994140625
2021-11-03,4287.8154296875,6573.46923828125,3008.54052734375,1847.1636962890625
2021-11-04,4287.8154296875,6595.828125,3048.977783203125,1822.2860107421875
2021-11-05,4251.93359375,6662.904296875,3048.977783203125,1784.9696044921875
2021-11-08,4251.93359375,6774.69775390625,3032.802978515625,1791.1890869140625
2021-11-09,4198.11181640625,6864.13330078125,3000.452880859375,1828.505615234375
2021-11-10,4431.33984375,6841.77392578125,2992.365478515625,1809.84716796875
2021-11-11,4431.33984375,6864.13330078125,2951.92822265625,1834.724853515625
2021-11-12,4413.3994140625,6729.97998046875,2911.490966796875,1809.84716796875
2021-11-15,4395.45849609375,6707.62109375,2911.490966796875,1772.53076171875
2021-11-16,4431.33984375,6685.26318359375,2968.103271484375,1760.092041015625
2021-11-17,4485.162109375,6797.431640625,2935.753173828125,1753.87255859375
2021-11-18,4449.2802734375,6640.3955078125,2935.753173828125,1760.092041015625
2021-11-19,4467.22119140625,6662.82861328125,3154.115234375,1784.9696044921875
2021-11-22,4449.2802734375,6707.69677734375,3073.240234375,1784.9696044921875
2021-11-23,4485.162109375,6707.69677734375,3073.240234375,1784.9696044921875
2021-11-24,4467.22119140625,6707.69677734375,3073.240234375,1784.9696044921875
2021-11-25,4467.22119140625,6662.82861328125,3234.98974609375,1778.7503662109375
2021-11-26,4233.99267578125,6528.22705078125,3243.077392578125,1741.4337158203125
2021-11-29,4287.8154296875,6640.3955078125,3348.21435546875,1766.3115234375
2021-11-30,4144.28955078125,6528.22705078125,3226.90234375,1760.092041015625
2021-12-01,4054.586669921875,6550.65966796875,3299.689697265625,1722.775634765625
2021-12-02,4198.11181640625,6730.1298828125,3364.38916015625,1704.117431640625
2021-12-03,4126.349609375,6617.9619140625,3291.601806640625,1735.2144775390625
2021-12-06,4054.586669921875,6595.52783203125,3372.476806640625,1704.117431640625
2021-12-07,4251.93359375,6595.52783203125,3356.3017578125,1716.5562744140625
2021-12-08,4162.23046875,6662.82861328125,3307.777099609375,1735.2144775390625
2021-12-09,4305.75537109375,6595.52783203125,3356.3017578125,1741.4337158203125
2021-12-10,4251.93359375,6617.9619140625,3356.3017578125,1760.092041015625
2021-12-13,4233.99267578125,6550.65966796875,3299.689697265625,1828.505615234375
2021-12-14,4216.052734375,6550.65966796875,3315.86474609375,1840.9443359375
2021-12-15,4305.75537109375,6550.65966796875,3299.689697265625,1822.2860107421875
2021-12-16,4162.23046875,6528.22705078125,3315.86474609375,1791.1890869140625
2021-12-17,4162.23046875,6730.1298828125,3315.86474609375,1840.9443359375
2021-12-20,4072.527587890625,6617.9619140625,3299.689697265625,1778.7503662109375
2021-12-21,4054.586669921875,6617.9619140625,3364.38916015625,1778.7503662109375
2021-12-22,4036.646240234375,6573.09375,3323.9521484375,1766.3115234375
2021-12-23,4108.40869140625,6550.65966796875,3364.38916015625,1784.9696044921875
2021-12-24,4072.527587890625,6550.65966796875,3323.9521484375,1791.1890869140625
2021-12-27,4072.527587890625,6595.52783203125,3299.689697265625,1803.6278076171875
2021-12-28,4108.40869140625,6595.52783203125,3307.777099609375,1803.6278076171875
2021-12-29,4126.349609375,6550.65966796875,3299.689697265625,1797.408447265625
2021-12-30,4090.468017578125,6550.65966796875,3267.339599609375,1822.2860107421875
2022-01-03,4108.40869140625,6573.09375,3380.564208984375,1803.6278076171875
2022-01-04,4144.28955078125,6640.3955078125,3372.476806640625,1797.408447265625
2022-01-05,4000.764404296875,6685.26318359375,3275.427001953125,1809.84716796875
2022-01-06,4072.527587890625,6707.69677734375,3332.03955078125,1791.1890869140625
