Date,Asset_A,Asset_B,QMI,J_value
2023-03-17,BBCA.JK,TPIA.JK,9.918307830680817e-05,9.918307830680817e-05
2023-03-17,ASII.JK,TLKM.JK,0.017895119396230452,0.017895119396230452
2023-03-17,ASII.JK,TPIA.JK,0.0026226979243881843,0.0026226979243881843
2023-03-17,TLKM.JK,TPIA.JK,0.04708853214457953,0.04708853214457953
2023-04-27,BBCA.JK,ASII.JK,0.011204480569688036,0.011204480569688036
2023-04-27,BBCA.JK,TLKM.JK,6.214280132410543e-05,6.214280132410543e-05
2023-04-27,BBCA.JK,TPIA.JK,0.0,0.0
2023-04-27,ASII.JK,TLKM.JK,0.007949142063734316,0.007949142063734316
2023-04-27,ASII.JK,TPIA.JK,0.00022973547035420872,0.00022973547035420872
2023-04-27,TLKM.JK,TPIA.JK,0.011384033764887835,0.011384033764887835
2023-05-30,BBCA.JK,ASII.JK,0.0005516434489509781,0.0005516434489509781
2023-05-30,BBCA.JK,TLKM.JK,0.0004325731864098792,0.0004325731864098792
2023-05-30,BBCA.JK,TPIA.JK,0.002967044683067188,0.002967044683067188
2023-05-30,ASII.JK,TLKM.JK,0.011204480569688036,0.011204480569688036
2023-05-30,ASII.JK,TPIA.JK,0.012848704929288246,0.012848704929288246
2023-05-30,TLKM.JK,TPIA.JK,0.016929508916767366,0.016929508916767366
2023-07-05,BBCA.JK,ASII.JK,0.006452656383625577,0.006452656383625577
2023-07-05,BBCA.JK,TLKM.JK,0.02863794395830066,0.02863794395830066
2023-07-05,BBCA.JK,TPIA.JK,0.0028428983171810973,0.0028428983171810973
2023-07-05,ASII.JK,TLKM.JK,0.00014094075199677647,0.00014094075199677647
2023-07-05,ASII.JK,TPIA.JK,0.01734120426305319,0.01734120426305319
2023-07-05,TLKM.JK,TPIA.JK,0.009232052766671162,0.009232052766671162
2023-08-04,BBCA.JK,ASII.JK,0.004440066426254052,0.004440066426254052
2023-08-04,BBCA.JK,TLKM.JK,0.0066891797316757096,0.0066891797316757096
2023-08-04,BBCA.JK,TPIA.JK,0.009792849351841104,0.009792849351841104
2023-08-04,ASII.JK,TLKM.JK,0.0018472479147961796,0.0018472479147961796
2023-08-04,ASII.JK,TPIA.JK,0.031076704735633953,0.031076704735633953
2023-08-04,TLKM.JK,TPIA.JK,0.0024155592600618725,0.0024155592600618725
2023-09-05,BBCA.JK,ASII.JK,0.001860005974670953,0.001860005974670953
2023-09-05,BBCA.JK,TLKM.JK,0.007341876225131605,0.007341876225131605
2023-09-05,BBCA.JK,TPIA.JK,0.025069918023796767,0.025069918023796767
2023-09-05,ASII.JK,TLKM.JK,0.0006463516754511289,0.0006463516754511289
2023-09-05,ASII.JK,TPIA.JK,0.0,0.0
2023-09-05,TLKM.JK,TPIA.JK,0.00046605995382464904,0.00046605995382464904
2023-10-05,BBCA.JK,ASII.JK,0.008817787925457843,0.008817787925457843
2023-10-05,BBCA.JK,TLKM.JK,0.000934750188940292,0.000934750188940292
2023-10-05,BBCA.JK,TPIA.JK,0.005759341962916276,0.005759341962916276
2023-10-05,ASII.JK,TLKM.JK,0.00425056523667533,0.00425056523667533
2023-10-05,ASII.JK,TPIA.JK,0.0010527083601170606,0.0010527083601170606
2023-10-05,TLKM.JK,TPIA.JK,0.0007224105191034891,0.0007224105191034891
2023-11-03,BBCA.JK,ASII.JK,0.037135706728113504,0.037135706728113504
2023-11-03,BBCA.JK,TLKM.JK,0.005770142159169378,0.005770142159169378
2023-11-03,BBCA.JK,TPIA.JK,0.0020797591000694116,0.0020797591000694116
2023-11-03,ASII.JK,TLKM.JK,0.016929508916767366,0.016929508916767366
2023-11-03,ASII.JK,TPIA.JK,0.025546266998534017,0.025546266998534017
2023-11-03,TLKM.JK,TPIA.JK,0.004435438818066961,0.004435438818066961
2023-12-04,BBCA.JK,ASII.JK,0.020682061266972918,0.020682061266972918
2023-12-04,BBCA.JK,TLKM.JK,0.03904503210339505,0.03904503210339505
2023-12-04,BBCA.JK,TPIA.JK,0.0031115725779868875,0.0031115725779868875
2023-12-04,ASII.JK,TLKM.JK,0.007964532360471566,0.007964532360471566
2023-12-04,ASII.JK,TPIA.JK,0.008740999418940243,0.008740999418940243
2023-12-04,TLKM.JK,TPIA.JK,0.0,0.0
