Date,ADRO.JK,AMRT.JK,ASII.JK,BBCA.JK,BBRI.JK,BMRI.JK,ICBP.JK,KLBF.JK,SMGR.JK,TLKM.JK,TPIA.JK,UNTR.JK
2021-06-21,404.2440490722656,1155.0859375,3334.478515625,5355.25146484375,2547.933837890625,2317.934326171875,7100.51708984375,1361.56103515625,8801.4140625,2668.866455078125,2332.2958984375,12665.4384765625
2021-06-22,405.81695556640625,1198.2218017578125,3334.478515625,5432.3671875,2612.602294921875,2375.642333984375,7212.51318359375,1306.3626708984375,8537.373046875,2668.866455078125,2418.906494140625,12680.095703125
2021-06-23,396.3793640136719,1231.7720947265625,3341.255859375,5338.1142578125,2547.933837890625,2317.934326171875,7145.31494140625,1251.164306640625,8537.373046875,2725.47900390625,2475.323974609375,12372.2568359375
2021-06-24,391.6605529785156,1212.6004638671875,3348.032958984375,5320.97802734375,2580.26806640625,2298.69873046875,7190.11328125,1260.364013671875,8559.375,2628.42919921875,2475.323974609375,12489.5283203125
2021-06-25,404.2440490722656,1226.97900390625,3334.478515625,5303.8408203125,2580.26806640625,2269.844482421875,7190.11328125,1246.5643310546875,8559.375,2628.42919921875,2500.20166015625,12518.84765625
2021-06-28,388.51470947265625,1188.6361083984375,3192.153076171875,5188.16796875,2541.466796875,2192.90087890625,7145.31494140625,1264.9638671875,8207.318359375,2563.7294921875,2425.568359375,11961.802734375
2021-06-29,382.2229309082031,1193.428955078125,3280.258544921875,5179.59912109375,2522.06640625,2221.754638671875,7391.70556640625,1264.9638671875,8427.35546875,2555.641845703125,2419.34912109375,11873.84765625
2021-06-30,379.0770263671875,1198.2218017578125,3348.032958984375,5162.46240234375,2547.933837890625,2269.844482421875,7302.10888671875,1287.963134765625,8361.34375,2547.5546875,2444.226806640625,11873.84765625
2021-07-01,379.0770263671875,1193.428955078125,3405.640625,5162.46240234375,2547.933837890625,2298.69873046875,7615.6962890625,1287.963134765625,8273.330078125,2515.20458984375,2450.446044921875,11917.82421875
2021-07-02,396.3793640136719,1193.428955078125,3388.69775390625,5226.72509765625,2580.26806640625,2289.08056640625,7548.4990234375,1287.963134765625,8185.31640625,2482.8544921875,2425.568359375,11961.802734375
2021-07-05,388.51470947265625,1198.2218017578125,3348.032958984375,5235.29443359375,2522.06640625,2250.608642578125,7369.3056640625,1278.7635498046875,8097.30126953125,2458.59228515625,2375.8134765625,11859.1904296875
2021-07-06,405.81695556640625,1289.2867431640625,3320.923095703125,5188.16796875,2515.599853515625,2221.754638671875,7526.099609375,1260.364013671875,8185.31640625,2434.329833984375,2375.8134765625,12167.029296875
2021-07-07,393.2335205078125,1284.493896484375,3320.923095703125,5196.736328125,2470.331298828125,2212.13671875,7570.8984375,1246.5643310546875,7877.26611328125,2450.504638671875,2444.226806640625,11947.142578125
2021-07-08,383.7958984375,1279.700927734375,3307.36865234375,5153.89404296875,2502.66552734375,2269.844482421875,7593.29736328125,1218.9652099609375,7789.251953125,2434.329833984375,2438.00732421875,11756.5751953125
2021-07-09,393.2335205078125,1298.8724365234375,3327.700927734375,5158.177734375,2457.397705078125,2221.754638671875,7660.4951171875,1214.3653564453125,7833.2587890625,2555.641845703125,2469.1044921875,11434.078125
2021-07-12,388.51470947265625,1308.4581298828125,3334.478515625,5286.7041015625,2431.53076171875,2231.37255859375,7906.8837890625,1228.164794921875,7745.244140625,2531.37939453125,2487.7626953125,11419.416015625
2021-07-13,386.9417724609375,1260.5294189453125,3320.923095703125,5179.59912109375,2444.464111328125,2221.754638671875,8018.880859375,1223.5650634765625,7569.21630859375,2482.8544921875,2456.665283203125,11155.5546875
2021-07-14,383.7958984375,1241.35791015625,3205.70751953125,5132.47314453125,2399.196533203125,2192.90087890625,7794.88916015625,1255.76416015625,7503.20654296875,2474.767333984375,2450.446044921875,10906.3505859375
2021-07-15,385.3687438964844,1250.943603515625,3259.927001953125,5239.578125,2463.86474609375,2260.2265625,7772.490234375,1255.76416015625,7459.19921875,2531.37939453125,2425.568359375,11272.8271484375
2021-07-16,390.087646484375,1236.5650634765625,3307.36865234375,5235.29443359375,2483.26513671875,2260.2265625,7682.8935546875,1278.7635498046875,7789.251953125,2563.7294921875,2382.032958984375,11316.8056640625
2021-07-19,393.2335205078125,1203.0147705078125,3239.5947265625,5145.326171875,2444.464111328125,2212.13671875,7615.6962890625,1278.7635498046875,7569.21630859375,2604.166748046875,2263.864013671875,11199.529296875
2021-07-21,390.087646484375,1179.05029296875,3300.59130859375,5149.6103515625,2470.331298828125,2279.462646484375,7615.6962890625,1241.9644775390625,7789.251953125,2596.0791015625,2214.10888671875,11170.2119140625
2021-07-22,419.9733581542969,1203.0147705078125,3375.142822265625,5273.85205078125,2522.06640625,2327.552490234375,7906.8837890625,1246.5643310546875,7811.25439453125,2636.5166015625,2207.8896484375,11800.5537109375
2021-07-23,410.5357360839844,1188.6361083984375,3354.810791015625,5171.03125,2502.66552734375,2298.69873046875,7750.09033203125,1237.36474609375,7657.23046875,2563.7294921875,2176.792236328125,11580.66796875
2021-07-26,402.671142578125,1203.0147705078125,3232.81689453125,5145.326171875,2476.798583984375,2231.37255859375,7817.2880859375,1237.36474609375,7525.21044921875,2579.904541015625,2176.792236328125,11844.53125
2021-07-27,401.09814453125,1203.0147705078125,3226.039794921875,5145.326171875,2457.397705078125,2240.99072265625,7615.6962890625,1232.764892578125,7371.18505859375,2644.60400390625,2189.231201171875,11727.2578125
2021-07-28,399.5252685546875,1327.6297607421875,3192.153076171875,5123.90478515625,2412.130126953125,2269.844482421875,7615.6962890625,1209.765380859375,7217.15966796875,2579.904541015625,2201.669677734375,11595.3271484375
2021-07-29,416.82745361328125,1322.8369140625,3151.488037109375,5175.3154296875,2437.99755859375,2212.13671875,7481.3017578125,1191.3660888671875,7063.13525390625,2612.25390625,2257.64453125,11580.66796875
2021-07-30,419.9733581542969,1294.07958984375,3198.93017578125,5115.33642578125,2399.196533203125,2192.90087890625,7279.70947265625,1159.1668701171875,6777.08935546875,2620.341552734375,2338.4970703125,11463.39453125
2021-08-02,430.98388671875,1365.972900390625,3266.704345703125,5106.76806640625,2418.5966796875,2183.28271484375,7279.70947265625,1200.565673828125,6865.103515625,2676.9541015625,2313.618896484375,11316.8056640625
