Date,BBCA.JK,BMRI.JK,SMGR.JK,TLKM.JK
2021-02-10,5847.36767578125,2418.155029296875,9548.623046875,2456.061279296875
2021-02-11,5813.56787109375,2418.155029296875,9462.2109375,2456.061279296875
2021-02-15,5745.9677734375,2418.155029296875,9656.6396484375,2479.159423828125
2021-02-16,5864.26708984375,2408.8544921875,9527.0205078125,2471.4599609375
2021-02-17,5830.46728515625,2362.351806640625,9483.8134765625,2425.2646484375
2021-02-18,5691.04345703125,2325.1494140625,9246.1787109375,2448.3623046875
2021-02-19,5767.0927734375,2371.652099609375,9289.3857421875,2471.4599609375
2021-02-22,5737.51806640625,2371.652099609375,9094.9560546875,2440.6630859375
2021-02-23,5767.0927734375,2353.05078125,9030.1474609375,2671.640625
2021-02-24,5682.59423828125,2371.652099609375,8878.923828125,2679.33984375
2021-02-25,5665.69384765625,2334.449951171875,8922.130859375,2687.038818359375
2021-02-26,5669.9189453125,2287.94677734375,8814.11328125,2687.038818359375
2021-03-01,5952.99267578125,2446.05712890625,9224.57421875,2687.038818359375
2021-03-02,5927.64208984375,2455.357421875,10110.306640625,2663.941162109375
2021-03-03,5914.96728515625,2455.357421875,9786.259765625,2648.542724609375
2021-03-04,5678.36865234375,2436.75634765625,9678.2431640625,2586.948974609375
2021-03-05,5745.9677734375,2408.8544921875,9678.2431640625,2556.152099609375
2021-03-08,5678.36865234375,2390.253173828125,9440.6064453125,2571.55029296875
2021-03-09,5581.19384765625,2390.253173828125,9505.4169921875,2533.053955078125
2021-03-10,5665.69384765625,2418.155029296875,9764.6552734375,2617.74609375
2021-03-12,5716.39306640625,2501.860595703125,9872.671875,2656.241943359375
2021-03-15,5631.89404296875,2473.958984375,9613.43359375,2602.347412109375
2021-03-16,5598.09326171875,2436.75634765625,9613.43359375,2586.948974609375
2021-03-17,5585.4189453125,2427.455810546875,9570.2265625,2610.046630859375
2021-03-18,5665.69384765625,2529.76220703125,9829.4658203125,2656.241943359375
2021-03-19,5712.16796875,2520.46142578125,10196.7197265625,2648.542724609375
2021-03-22,5593.869140625,2464.658447265625,10023.8935546875,2602.347412109375
2021-03-23,5547.39453125,2483.25927734375,9829.4658203125,2586.948974609375
2021-03-24,5441.76904296875,2471.822265625,9959.0849609375,2594.6484375
2021-03-25,5382.6201171875,2462.204345703125,9743.052734375,2625.4453125
2021-03-26,5420.64501953125,2471.822265625,9570.2265625,2687.038818359375
2021-03-29,5374.169921875,2452.58642578125,9635.0361328125,2625.4453125
2021-03-30,5403.7451171875,2433.3505859375,9397.4013671875,2602.347412109375
2021-03-31,5251.646484375,2366.0244140625,9008.54296875,2633.14453125
2021-04-01,5260.095703125,2385.26025390625,9008.54296875,2610.046630859375
2021-04-05,5200.94677734375,2394.87841796875,8900.52734375,2602.347412109375
2021-04-06,5209.39599609375,2414.1142578125,8965.3369140625,2594.6484375
2021-04-07,5281.22021484375,2433.3505859375,8943.734375,2617.74609375
2021-04-08,5256.7138671875,2414.1142578125,9021.451171875,2610.046630859375
2021-04-09,5312.41015625,2491.05810546875,9131.46875,2586.948974609375
2021-04-12,5196.73583984375,2423.732421875,8735.404296875,2548.45263671875
2021-04-13,5141.041015625,2423.732421875,9241.486328125,2563.85107421875
2021-04-14,5402.3779296875,2433.3505859375,9725.5625,2571.55029296875
2021-04-15,5380.95703125,2423.732421875,9527.53125,2586.948974609375
2021-04-16,5376.6728515625,2423.732421875,9373.505859375,2586.948974609375
2021-04-19,5372.38818359375,2394.87841796875,9175.474609375,2571.55029296875
2021-04-20,5342.3984375,2385.26025390625,9285.4921875,2556.152099609375
2021-04-21,5282.42041015625,2356.406494140625,9197.4794921875,2525.35498046875
2021-04-22,5325.26220703125,2356.406494140625,9087.4609375,2563.85107421875
2021-04-23,5475.208984375,2366.0244140625,9153.4716796875,2548.45263671875
2021-04-26,5385.2412109375,2298.698486328125,9263.490234375,2502.257080078125
2021-04-27,5488.06201171875,2327.552734375,9065.45703125,2432.9638671875
2021-04-28,5415.23095703125,2385.26025390625,9263.490234375,2417.565185546875
2021-04-29,5492.34619140625,2394.87841796875,9285.4921875,2463.7607421875
2021-04-30,5488.06201171875,2375.642333984375,9175.474609375,2463.7607421875
2021-05-03,5475.208984375,2327.552734375,8955.439453125,2440.6630859375
2021-05-04,5483.77734375,2346.78857421875,8845.4208984375,2471.4599609375
2021-05-05,5505.1982421875,2327.552734375,8933.4365234375,2463.7607421875
2021-05-06,5505.1982421875,2337.170654296875,8823.41796875,2456.061279296875
2021-05-07,5483.77734375,2289.08056640625,8625.3857421875,2456.061279296875
2021-05-10,5500.91455078125,2298.698486328125,8757.408203125,2440.6630859375
2021-05-11,5552.32470703125,2269.844482421875,8735.404296875,2448.3623046875
2021-05-17,5569.46142578125,2279.46240234375,8559.375,2456.061279296875
2021-05-18,5475.208984375,2269.844482421875,8383.34765625,2448.3623046875
2021-05-19,5436.65087890625,2183.28271484375,8163.3115234375,2432.9638671875
2021-05-20,5466.64111328125,2173.664306640625,8383.34765625,2548.45263671875
2021-05-21,5449.5048828125,2240.99072265625,8295.333984375,2517.65576171875
2021-05-24,5419.51513671875,2212.13671875,8119.30419921875,2509.956298828125
2021-05-25,5445.2197265625,2269.844482421875,8273.3310546875,2540.75341796875
2021-05-27,5372.38818359375,2212.13671875,8361.3447265625,2602.347412109375
2021-05-28,5432.3671875,2231.372802734375,8493.3662109375,2517.65576171875
2021-05-31,5462.35693359375,2308.31640625,8537.3740234375,2648.542724609375
2021-06-02,5539.47314453125,2346.78857421875,9175.474609375,2656.241943359375
2021-06-03,5655.1455078125,2404.496337890625,9285.4921875,2687.038818359375
2021-06-04,5638.0087890625,2356.406494140625,9131.46875,2694.73828125
2021-06-07,5595.1669921875,2356.406494140625,9153.4716796875,2733.234619140625
2021-06-08,5509.4833984375,2308.31640625,8955.439453125,2694.73828125
